net,length_um
net23,567.48
net27,563.14
clk,411.54
net4,373.955
net7,373.68
net3,367.76
net14,341.345
net12,330.3
net11,324.5
net18,298.82
net5,296.8
net9,290.56
net17,289.48
net24,267.22
_191_,250.12
net16,243.24
net21,242.22
net20,240.8
net19,239.38
net10,232.8
net15,226.1
net13,221.06
_165_,219.7
_193_,209.395
clknet_1_0__leaf_clk,206.52
net8,198.48
net25,194.7
clknet_1_1__leaf_clk,194.12
_140_,182.2
_182_,180.74
_181_,180.38
net6,177.58
_189_,169.13
_107_,155.24
_184_,149.35
_180_,137.835
net2,134.98
_121_,108.14
net1,104.04
U_PC.pc\[1\],98.48
net28,94.06
_073_,80.66
_183_,78.24
U_PC.pc\[0\],76.52
_065_,65.26
_115_,62.34
clknet_0_clk,61.24
_063_,60.3
_145_,60.24
_138_,57.92
_135_,57.63
_127_,55.8
_108_,54.42
_079_,51.48
net29,43.8
_134_,43.38
_112_,42.98
_097_,42.195
_085_,38.33
_060_,37.92
U_PC.pc\[2\],37.78
U_PC.pc\[3\],36.84
_025_,36.49
_096_,36.38
_117_,35.02
_056_,34.8
_185_,33.62
_083_,32.82
_074_,32.08
_186_,29.675
_093_,28.62
_069_,28.4
_147_,28.06
_137_,27.37
_157_,27.36
_151_,27.24
_089_,27.21
_154_,25.42
_058_,25.2
_078_,24.76
_111_,23.58
_067_,23.08
_192_,22.54
_057_,22.25
_132_,21.9
_099_,21.62
_143_,21.44
_081_,20.96
_194_,20.6
_129_,19.92
_062_,19.5
_144_,19.32
_196_,19.08
_068_,19.04
_092_,18.66
last_opcode_out[6],18.51
_055_,18.48
_095_,18.44
_084_,18.4
_070_,18.32
_059_,18.08
_125_,17.94
net34,17.94
_153_,17.92
_082_,17.56
_053_,16.715
_195_,16.48
_128_,16.22
_072_,15.96
_174_,15.8
net26,15.76
_118_,15.72
_098_,15.34
rst,15.05
_087_,15
_071_,14.4
_076_,14.14
_162_,14.12
_187_,12.66
_155_,12.58
_077_,12
_086_,11.815
_160_,11.6
_061_,11.56
_100_,11.38
B_out[1],11.24
_152_,11.24
_052_,11.18
B_out[5],11.03
U_PC.next_pc\[2\],10.82
_088_,10.76
_142_,10.74
_045_,10.56
_066_,10.54
_043_,10.52
_116_,10.5
B_out[2],10.47
_164_,10.36
A_out[0],10.13
_090_,10.035
_149_,10
net30,9.89
_102_,9.84
_190_,9.84
last_opcode_out[2],9.67
A_out[6],9.45
B_out[6],9.45
flags_out[2],9.45
last_opcode_out[1],9.45
A_out[5],9.42
B_out[0],9.42
last_opcode_out[4],9.42
_109_,9.36
_103_,9.2
A_out[1],8.99
_123_,8.98
B_out[3],8.96
B_out[4],8.96
B_out[7],8.96
_113_,8.9
A_out[2],8.87
last_opcode_out[0],8.87
A_out[4],8.84
_136_,8.83
A_out[3],8.5
A_out[7],8.5
last_opcode_out[3],8.5
flags_out[0],8.38
flags_out[1],8.38
flags_out[3],8.38
net22,8.22
_130_,8.14
_172_,7.94
_177_,7.68
_040_,7.6
_133_,7.44
net31,7.44
_016_,7.4
_048_,7.3
_161_,7.06
_049_,6.925
_141_,6.92
_046_,6.9
_051_,6.84
_148_,6.76
_171_,6.72
_126_,6.64
_044_,6.52
_050_,6.44
_047_,6.42
_007_,6.41
_042_,6.405
_080_,6.4
_028_,6.38
_166_,6.06
_038_,5.84
net32,5.84
_031_,5.8
_008_,5.56
_033_,5.38
_131_,5.38
_064_,5.36
_178_,5.34
_139_,5.24
_091_,5.115
U_PC.next_pc\[0\],5.04
_114_,5
U_PC.next_pc\[1\],4.92
_176_,4.92
_015_,4.87
_054_,4.845
_030_,4.8
_173_,4.76
_004_,4.68
_175_,4.46
_163_,4.42
_029_,4.305
_013_,4.27
_032_,4.14
net33,4.14
_037_,4.12
_179_,4
_101_,3.76
_014_,3.69
_039_,3.66
_167_,3.54
_146_,3.1
_036_,3.08
_168_,2.98
_011_,2.96
_026_,2.96
_000_,2.84
_002_,2.84
_003_,2.84
_159_,2.76
_124_,2.64
_094_,2.62
_150_,2.5
_169_,2.5
_012_,2.38
_005_,2.28
_020_,2.28
_023_,2.275
_027_,2.21
_010_,2.16
_104_,2.16
_122_,2.16
_075_,2.04
_119_,2.04
_041_,2
_110_,1.92
_034_,1.845
_035_,1.84
U_PC.next_pc\[3\],1.82
_006_,1.82
_009_,1.82
_018_,1.82
_019_,1.82
_021_,1.82
_022_,1.82
_024_,1.82
_120_,1.7
_188_,1.7
_105_,1.48
_001_,1.36
_017_,1.36
_170_,1.14
_106_,0.92
_156_,0.8
_158_,0.8
